elevation,habitat_class,country,percent_loss,longitude_round,area,averagecountry,secountry,averageclass,seclass
1544,moderate,nepal,0,88,0,0.74153777,0.1118324,1.17929022,0.115853324
2308,core,india,0,93,0,1.546944592,0.245287153,0.496506815,0.077524625
4284,moderate,china,2.51572327,99,2515.72327,1.219872364,0.163011557,1.17929022,0.115853324
2996,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
2842,low,bhutan,0,91,0,0.335161377,0.049644415,1.203701833,0.119280872
3279,moderate,china_spp,0,102,0,1.15281729,0.141674902,1.17929022,0.115853324
2118,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
2762,core,nepal,0.45112782,86,451.12782,0.74153777,0.1118324,0.496506815,0.077524625
2425,moderate,nepal,0,84,0,0.74153777,0.1118324,1.17929022,0.115853324
1896,core,india,0,96,0,1.546944592,0.245287153,0.496506815,0.077524625
2147,low,china_spp,8.10564663,104,8105.64663,1.15281729,0.141674902,1.203701833,0.119280872
2972,moderate,china,0,100,0,1.219872364,0.163011557,1.17929022,0.115853324
3875,low,india,0.31779661,93,317.79661,1.546944592,0.245287153,1.203701833,0.119280872
3232,low,china,11.85729276,96,11857.29276,1.219872364,0.163011557,1.203701833,0.119280872
2285,moderate,nepal,0.986193294,85,986.193294,0.74153777,0.1118324,1.17929022,0.115853324
2916,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
1854,moderate,nepal,0,82,0,0.74153777,0.1118324,1.17929022,0.115853324
3109,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
1344,core,china_spp,0.182648402,103,182.648402,1.15281729,0.141674902,0.496506815,0.077524625
2534,moderate,nepal,0.392156863,82,392.156863,0.74153777,0.1118324,1.17929022,0.115853324
2888,moderate,china_spp,0,102,0,1.15281729,0.141674902,1.17929022,0.115853324
3122,moderate,india,0,95,0,1.546944592,0.245287153,1.17929022,0.115853324
1491,core,china_spp,2.423112768,103,2423.112768,1.15281729,0.141674902,0.496506815,0.077524625
3238,low,bhutan,0.220264317,90,220.264317,0.335161377,0.049644415,1.203701833,0.119280872
3721,low,india,0,94,0,1.546944592,0.245287153,1.203701833,0.119280872
1634,low,china_spp,0,104,0,1.15281729,0.141674902,1.203701833,0.119280872
3114,core,nepal,0,85,0,0.74153777,0.1118324,0.496506815,0.077524625
2017,low,india,0,96,0,1.546944592,0.245287153,1.203701833,0.119280872
4015,low,china,0,97,0,1.219872364,0.163011557,1.203701833,0.119280872
2517,moderate,india,0,92,0,1.546944592,0.245287153,1.17929022,0.115853324
4298,low,china,0.540540541,98,540.540541,1.219872364,0.163011557,1.203701833,0.119280872
3877,low,china,0,99,0,1.219872364,0.163011557,1.203701833,0.119280872
2306,low,india,0,93,0,1.546944592,0.245287153,1.203701833,0.119280872
2321,moderate,nepal,0,86,0,0.74153777,0.1118324,1.17929022,0.115853324
4204,low,china,0,99,0,1.219872364,0.163011557,1.203701833,0.119280872
2464,moderate,nepal,0.102145046,83,102.145046,0.74153777,0.1118324,1.17929022,0.115853324
2214,core,burma,0,98,0,1.184982172,0.215918281,0.496506815,0.077524625
2716,low,india,0,95,0,1.546944592,0.245287153,1.203701833,0.119280872
1339,moderate,burma,0.090171326,97,90.171326,1.184982172,0.215918281,1.17929022,0.115853324
1724,low,bhutan,2.443991853,90,2443.991853,0.335161377,0.049644415,1.203701833,0.119280872
1093,moderate,india,11.24161074,92,11241.61074,1.546944592,0.245287153,1.17929022,0.115853324
2016,low,china_spp,3.80952381,102,3809.52381,1.15281729,0.141674902,1.203701833,0.119280872
2941,moderate,bhutan,2.164111812,90,2164.111812,0.335161377,0.049644415,1.17929022,0.115853324
3439,moderate,china,5.833333333,100,5833.333333,1.219872364,0.163011557,1.17929022,0.115853324
1482,moderate,nepal,0,86,0,0.74153777,0.1118324,1.17929022,0.115853324
3908,core,india,0.394736842,89,394.736842,1.546944592,0.245287153,0.496506815,0.077524625
3990,low,china,0,100,0,1.219872364,0.163011557,1.203701833,0.119280872
3728,low,china,0,99,0,1.219872364,0.163011557,1.203701833,0.119280872
3561,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
3034,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
3923,low,india,0,93,0,1.546944592,0.245287153,1.203701833,0.119280872
1061,low,india,0.914076782,92,914.076782,1.546944592,0.245287153,1.203701833,0.119280872
3427,moderate,china,0.553709856,98,553.709856,1.219872364,0.163011557,1.17929022,0.115853324
3398,low,china,0.106157113,94,106.157113,1.219872364,0.163011557,1.203701833,0.119280872
2658,low,china,3.476245655,100,3476.245655,1.219872364,0.163011557,1.203701833,0.119280872
2747,moderate,nepal,0,83,0,0.74153777,0.1118324,1.17929022,0.115853324
3059,core,india,0,96,0,1.546944592,0.245287153,0.496506815,0.077524625
2116,core,bhutan,0,91,0,0.335161377,0.049644415,0.496506815,0.077524625
2582,low,india,0.097276265,96,97.276265,1.546944592,0.245287153,1.203701833,0.119280872
2237,moderate,burma,0,97,0,1.184982172,0.215918281,1.17929022,0.115853324
949,low,india,4.532839963,94,4532.839963,1.546944592,0.245287153,1.203701833,0.119280872
3725,low,china,0,100,0,1.219872364,0.163011557,1.203701833,0.119280872
3258,low,nepal,0.125786164,82,125.786164,0.74153777,0.1118324,1.203701833,0.119280872
2655,moderate,bhutan,0.127388535,92,127.388535,0.335161377,0.049644415,1.17929022,0.115853324
2714,low,china,18.26741996,97,18267.41996,1.219872364,0.163011557,1.203701833,0.119280872
3594,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
2209,low,burma,1.394169835,99,1394.169835,1.184982172,0.215918281,1.203701833,0.119280872
3445,moderate,china,0,94,0,1.219872364,0.163011557,1.17929022,0.115853324
3987,core,nepal,0,85,0,0.74153777,0.1118324,0.496506815,0.077524625
2935,moderate,nepal,0.866217517,86,866.217517,0.74153777,0.1118324,1.17929022,0.115853324
2281,moderate,china_spp,2.807971014,103,2807.971014,1.15281729,0.141674902,1.17929022,0.115853324
2262,moderate,india,0.290979631,93,290.979631,1.546944592,0.245287153,1.17929022,0.115853324
2623,moderate,india,0,93,0,1.546944592,0.245287153,1.17929022,0.115853324
2920,low,china_spp,2.274795268,103,2274.795268,1.15281729,0.141674902,1.203701833,0.119280872
2989,low,china,0,98,0,1.219872364,0.163011557,1.203701833,0.119280872
1477,low,china_spp,4.778156997,104,4778.156997,1.15281729,0.141674902,1.203701833,0.119280872
3401,moderate,nepal,0.364520049,87,364.520049,0.74153777,0.1118324,1.17929022,0.115853324
3523,low,china,0.385109114,96,385.109114,1.219872364,0.163011557,1.203701833,0.119280872
2769,moderate,china,0,99,0,1.219872364,0.163011557,1.17929022,0.115853324
2424,core,china_spp,0,103,0,1.15281729,0.141674902,0.496506815,0.077524625
1726,moderate,nepal,0,87,0,0.74153777,0.1118324,1.17929022,0.115853324
3239,moderate,china_spp,0,102,0,1.15281729,0.141674902,1.17929022,0.115853324
3841,low,china,0,97,0,1.219872364,0.163011557,1.203701833,0.119280872
2417,low,china_spp,0,103,0,1.15281729,0.141674902,1.203701833,0.119280872
2424,low,bhutan,0,90,0,0.335161377,0.049644415,1.203701833,0.119280872
