loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class,iucn,,,loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class
0.024861878,942,91.06533443,India,,1,Moderate,,,,0.024861878,942,91.06533443,India,,1,Moderate
0,2134,98.129057,Burma,,1,Moderate,,,,0,2134,98.129057,Burma,,1,Moderate
,3758,95.98441909,China_fulgens,,0,Low,,,,,3758,95.98441909,China_fulgens,,0,Low
,2827,83.28071384,Nepal,,0,Moderate,,,,,2827,83.28071384,Nepal,,0,Moderate
,5010,93.62095158,China_fulgens,,0,Low,,,,,5010,93.62095158,China_fulgens,,0,Low
,4151,96.80853353,China_fulgens,,0,Low,,,,,4151,96.80853353,China_fulgens,,0,Low
0.713627993,2351,103.4424122,china_styani,,1,Moderate,,,,0.713627993,2351,103.4424122,china_styani,,1,Moderate
0.024567789,2212,103.3319195,china_styani,,1,Low,,,,0.024567789,2212,103.3319195,china_styani,,1,Low
,3636,99.06770664,China_fulgens,,0,Low,,,,,3636,99.06770664,China_fulgens,,0,Low
0.005979073,2080,98.70254148,Burma,IUCN II,1,Moderate,,,,0.005979073,2080,98.70254148,Burma,IUCN II,1,Moderate
,1594,81.79337322,Nepal,,0,Moderate,,,,,1594,81.79337322,Nepal,,0,Moderate
0,3647,100.6776673,China_fulgens,,1,Low,,,,0,3647,100.6776673,China_fulgens,,1,Low
9.07E-04,2975,102.7883489,china_styani,,1,Core,,,,0.000906618,2975,102.7883489,china_styani,,1,Core
,1504,87.13421691,Nepal,IUCN VI,0,Moderate,,,,,1504,87.13421691,Nepal,IUCN VI,0,Moderate
0,3144,95.07487487,China_fulgens,,1,Low,,,,0,3144,95.07487487,China_fulgens,,1,Low
0,3327,98.74862505,China_fulgens,,1,Low,,,,0,3327,98.74862505,China_fulgens,,1,Low
0.011308562,4181,94.6849162,China_fulgens,,1,Low,,,,0.011308562,4181,94.6849162,China_fulgens,,1,Low
,1741,98.65699689,China_fulgens,,0,Low,,,,,1741,98.65699689,China_fulgens,,0,Low
0,3707,98.67936494,China_fulgens,,1,Low,,,,0,3707,98.67936494,China_fulgens,,1,Low
0,2994,91.15238118,Bhutan,IUCN II,1,Moderate,,,,0,2994,91.15238118,Bhutan,IUCN II,1,Moderate
,3176,99.34744202,China_fulgens,,0,Moderate,,,,,3176,99.34744202,China_fulgens,,0,Moderate
,5146,94.56606909,China_fulgens,,0,Low,,,,,5146,94.56606909,China_fulgens,,0,Low
,3741,97.17693263,China_fulgens,,0,Low,,,,,3741,97.17693263,China_fulgens,,0,Low
0,4164,99.01084328,China_fulgens,,1,Low,,,,0,4164,99.01084328,China_fulgens,,1,Low
0.002754821,3124,99.21862361,China_fulgens,,1,Low,,,,0.002754821,3124,99.21862361,China_fulgens,,1,Low
0.014749263,2603,103.4019881,china_styani,,1,Core,,,,0.014749263,2603,103.4019881,china_styani,,1,Core
,4151,90.39617937,Bhutan,IUCN II,0,Low,,,,,4151,90.39617937,Bhutan,IUCN II,0,Low
0.002932551,1966,82.75951131,Nepal,,1,Moderate,,,,0.002932551,1966,82.75951131,Nepal,,1,Moderate
9.02E-04,1961,102.5196628,china_styani,,1,Moderate,,,,0.000901713,1961,102.5196628,china_styani,,1,Moderate
,4455,96.45360916,China_fulgens,,0,Low,,,,,4455,96.45360916,China_fulgens,,0,Low
,3914,99.78887415,China_fulgens,,0,Low,,,,,3914,99.78887415,China_fulgens,,0,Low
0.056533828,2154,98.66696819,Burma,,1,Moderate,,,,0.056533828,2154,98.66696819,Burma,,1,Moderate
0,2260,94.56849454,India,,1,Moderate,,,,0,2260,94.56849454,India,,1,Moderate
,3785,98.88795375,China_fulgens,,0,Low,,,,,3785,98.88795375,China_fulgens,,0,Low
