loss_mean,elevation,Country,IUCN RATING,over_20_pc_canopy_cover,Habitat_class,longitude
,1988,Nepal,,0,Low,82
9.39E-04,2625,china_styani,,1,Core,103
0.003338898,2819,China_fulgens,,1,Low,99
,3295,Burma,IUCN II,0,Moderate,98
0,3719,China_fulgens,,1,Low,101
0.00541028,1052,Burma,IUCN IV,1,Low,98
,3552,China_fulgens,,0,Low,96
0.029481132,1420,china_styani,,1,Low,103
,1844,Nepal,,0,Moderate,82
0,2607,Bhutan,IUCN II,1,Low,90
,2913,china_styani,,0,Low,103
0.00591133,3498,China_fulgens,,1,Core,99
0,4016,china_styani,,1,Low,102
0,1907,Burma,IUCN IV,1,Moderate,97
0,2283,India,,1,Low,95
,4324,China_fulgens,,0,Low,93
,4778,China_fulgens,,0,Low,100
,4039,China_fulgens,,0,Low,100
,4694,China_fulgens,,0,Low,99
,3499,China_fulgens,,0,Moderate,100
0,2909,china_styani,,1,Low,103
9.18E-04,2098,china_styani,,1,Moderate,103
,3145,china_styani,,0,Low,102
0,859,china_styani,,1,Low,104
,5286,Nepal,IUCN II,0,Core,87
,4725,China_fulgens,,0,Low,93
,3086,Nepal,,0,Core,88
0,2847,china_styani,,1,Moderate,102
,1471,Nepal,,0,Moderate,87
0.004036327,3075,china_styani,,1,Low,103
0.005454545,2929,china_styani,,1,Low,103
0,4219,China_fulgens,,1,Low,94
,4804,China_fulgens,,0,Low,94
0.015719468,2724,Nepal,,1,Moderate,82
,4098,China_fulgens,,0,Low,87
0.025948104,2932,china_styani,,1,Moderate,103
0,3781,China_fulgens,,1,Low,100
0.00120048,2388,Nepal,,1,Moderate,83
,2407,China_fulgens,,0,Moderate,101
0,2183,India,,1,Low,96
0.002938296,2547,China_fulgens,,1,Moderate,100
,1522,India,,0,Moderate,91
,3444,India,,0,Moderate,95
0.001803427,1739,India,,1,Low,94
0,3013,china_styani,,1,Moderate,103
0,3122,India,,1,Moderate,97
0.002680965,3457,China_fulgens,,1,Low,98
0.036926148,4089,China_fulgens,,1,Low,94
,3637,India,,0,Low,93
,2918,China_fulgens,,0,Moderate,98
0,2303,China_fulgens,,1,Moderate,100
,1939,Nepal,,0,Core,88
0.003726708,3052,China_fulgens,,1,Low,99
0.016366612,1764,China_fulgens,,1,Low,98
,2486,China_fulgens,,0,Low,100
0,2853,India,,1,Core,94
0,2999,Nepal,IUCN VI,1,Low,83
0,3053,China_fulgens,,1,Low,101
,4212,China_fulgens,,0,Low,99
,3637,Nepal,,0,Core,85
0.007554297,2434,Burma,,1,Low,99
,2916,China_fulgens,,0,Low,97
,3118,China_fulgens,,0,Moderate,99
,2926,China_fulgens,,0,Low,101
,3333,China_fulgens,,0,Low,101
9.99E-04,2784,China_fulgens,,1,Low,100
,4233,China_fulgens,,0,Core,85
0,2297,china_styani,,1,Moderate,102
,3448,Nepal,,0,Low,82
0,4203,Bhutan,IUCN VI,1,Low,91
0,3350,Nepal,,1,Moderate,82
0.026149684,1998,china_styani,,1,LowModerate,103
0.08716707,3181,Nepal,,1,Moderate,82
0,3014,Nepal,,1,Low,83
0,2358,Burma,IUCN IV,1,Moderate,98
0,2510,Nepal,,1,Moderate,84
,4478,Burma,IUCN II,0,Moderate,98
,3887,China_fulgens,,0,Low,98
0,3902,China_fulgens,,1,Low,100
,4465,Nepal,IUCN VI,0,Low,84
,4359,China_fulgens,,0,Low,98
0,2496,India,,1,Low,93
0.043043043,2361,china_styani,,1,Moderate,103
0.077202543,1641,Burma,,1,Moderate,98
,3487,china_styani,,0,Low,103
0.013605442,2656,India,,1,Low,96
0,3850,China_fulgens,,1,Low,95
,4800,China_fulgens,,0,Low,97
,2579,china_styani,,0,Low,104
0,3104,Bhutan,,1,Moderate,90
,2014,China_fulgens,,0,Low,100
0,3475,China_fulgens,,1,Low,98
0,3237,china_styani,,1,Low,102
0,1332,Burma,IUCN IV,1,Moderate,98
,3292,china_styani,,0,Low,103
,1703,Nepal,,0,Low,83
,3049,China_fulgens,,0,Low,97
,4484,China_fulgens,,0,Moderate,98
0.006493506,1507,china_styani,,1,Moderate,104
,3730,China_fulgens,,0,Low,96
,3627,Nepal,,0,Low,82
,3552,Nepal,IUCN II,0,Moderate,85
0.006385696,879,India,,1,Low,97
,4463,China_fulgens,,0,Low,95
0,2255,Burma,IUCN IV,1,Low,97
