elevation,over_20_pc_canopy_cover,habitat_class,country,percent_loss,longitude_round
2737,1,core,china_spp,0,103
3738,1,low,china_spp,0,102
4247,1,low,china,0,94
4351,0,low,china,0,100
4035,1,low,china,4.030501089,98
2502,1,moderate,india,1.848049281,97
1971,0,moderate,nepal,0,82
4319,0,moderate,bhutan,0,90
2600,1,low,,0,99
3214,0,moderate,china,0,100
2753,1,low,india,0,96
2658,1,low,china_spp,0,103
4189,0,low,china,0,99
3921,1,low,china,0,99
3194,1,moderate,india,0,94
2676,1,low,india,0,94
2784,1,core,nepal,0,87
2779,1,moderate,china_spp,2.452025586,102
5093,0,low,china,0,94
2538,1,low,china,0.909090909,99
2026,0,low,nepal,0,83
2930,0,low,,0,98
1736,1,low,nepal,0,85
995,1,low,india,12.79503106,91
1536,0,low,,0,99
3811,0,moderate,china,0,100
4393,0,low,india,0,93
2745,1,moderate,bhutan,0,91
2245,0,moderate,china_spp,0,102
4334,1,low,china,2.05655527,94
1848,0,moderate,china_spp,0,102
2957,1,moderate,burma,0,98
1958,1,low,china_spp,0,104
2226,1,moderate,china_spp,0.394477318,103
4728,1,low,china,0,94
3812,1,low,china_spp,0,103
1526,1,low,india,0.444444444,91
3595,0,moderate,china,0,99
3504,1,moderate,nepal,0,86
2335,1,low,china_spp,7.90960452,104
4533,0,low,china,0,93
2589,0,core,nepal,0,87
3076,1,low,china,0,100
3918,1,low,china,0,100
3437,0,low,china_spp,0,103
3526,1,low,china,3.115577889,94
4155,1,moderate,china,0,99
2860,0,low,china,0,97
2268,1,core,india,0,94
3425,1,moderate,china,0.107181136,99
2163,1,low,bhutan,0,90
3605,1,moderate,china,0,100
3785,1,low,china,0,99
3247,1,low,china,0,96
4009,0,low,china,0,101
2914,0,moderate,nepal,0,83
3033,1,core,india,0,88
3754,0,low,china,0,98
1753,0,low,,0,98
1343,1,moderatecore,china_spp,0.234466589,103
4684,0,low,china,0,95
1472,1,moderate,china_spp,3.787195672,103
4134,1,moderate,china,0,100
2179,1,core,china_spp,6.365313653,103
2556,1,low,india,0,96
1957,0,moderate,china,0,99
3717,1,moderate,burma,1.386138614,99
1566,1,moderate,china_spp,0.844277674,103
2163,1,moderate,china,0,101
1761,0,moderate,china_spp,0,103
3096,0,low,china,0,97
3243,1,moderate,china_spp,0,102
2610,1,low,india,0,94
1871,1,low,bhutan,0,90
2567,1,core,china_spp,0,103
3069,1,moderate,china,0.783545544,100
3037,0,low,china_spp,0,102
4078,0,low,nepal,0,83
2821,0,low,china,0,99
2611,1,moderate,burma,2.60782347,99
370,1,moderate,india,0.090415913,92
2541,0,moderate,china,0,99
1633,1,low,india,0,92
2504,1,moderate,nepal,0,84
2891,1,moderate,bhutan,0,90
3541,1,moderate,china,0,100
2752,1,moderate,burma,0.187441425,99
3013,1,low,china,0.767263427,100
2832,0,moderate,nepal,0,84
2415,0,low,china_spp,0,102
2076,1,low,china,0,95
2404,1,core,china_spp,0,103
2071,1,low,china_spp,2.344454463,104
2763,1,moderate,nepal,0,85
4719,0,core,china,0,87
2674,0,moderate,china,0,100
1922,1,low,india,0,93
3805,1,low,china,0,94
4252,0,low,china,0,97
1878,0,low,,0,99
3159,1,low,bhutan,0.188501414,91
2126,1,low,,4.179566563,98
289,0,core,burma,0,98
3906,0,low,china,0,94
3128,0,moderate,india,0,97
3145,1,low,china_spp,0.486618005,102
2293,1,low,china_spp,2.813067151,104
1300,0,moderate,china_spp,0,103
4661,0,low,china,0,97
2726,1,low,india,0,94
1444,0,core,nepal,0,87
3229,1,moderate,nepal,0.144508671,82
990,1,low,burma,0,97
2734,1,moderate,china_spp,0,103
4170,1,low,china,0,95
2303,1,low,,0.454545455,99
3111,1,low,china,0,97
3083,0,low,china,0,101
1625,1,low,india,0,94
4255,0,low,china,0,98
3869,0,low,india,0,96
1945,0,low,china,0,100
4206,1,low,china,0,100
3690,0,low,china,0,96
2462,1,moderate,china_spp,0.180342651,103
2952,0,low,china,0,101
2939,1,low,china,0,100
3463,1,moderate,china_spp,0,102
4623,0,low,china,0,97
1927,1,low,,0,100
2123,1,moderate,,0,99
3563,1,low,china,0,101
1433,1,low,bhutan,0.188857413,92
4372,0,low,china,0,96
3389,0,moderate,china_spp,0,103
2709,1,low,china,0,100
2292,1,lowmoderate,china_spp,0.374181478,104
1648,1,moderate,nepal,0,84
2751,1,moderate,china_spp,0,103
2638,1,low,china_spp,0,104
2667,1,low,india,0,96
4021,1,low,china,0,96
3448,0,low,india,0,93
3554,0,low,china,0,99
2437,1,low,china,0,100
3797,1,core,china,0,87
4739,0,low,china,0,96
2381,1,core,nepal,0,87
1955,1,low,india,1.946246525,94
2381,1,low,india,0,93
3621,1,low,china,0.341296928,98
3010,1,core,nepal,3.10391363,84
2311,1,moderate,bhutan,0,92
4390,0,moderate,china_spp,0,103
2052,1,moderate,china,0,99
1511,0,low,nepal,0,82
3087,1,low,china,0,99
3721,1,low,china,0,99
1841,1,moderate,bhutan,0,89
3097,0,low,china,0,100
1657,0,moderate,china_spp,0,102
3454,0,low,china,0,95
3991,0,low,china,0,96
2761,1,moderate,,0,99
4077,1,low,china,0.487804878,95
2260,1,moderate,china,3.044719315,95
1974,1,moderate,nepal,0,84
4031,0,moderate,nepal,0,82
3136,0,low,china,0,99
1782,1,low,india,0,96
3662,0,moderate,china,0,100
4001,0,low,china,0,98
3005,0,low,china,0,95
3367,1,moderate,nepal,0,82
1829,0,low,nepal,0,84
3794,1,low,china,0,97
3788,1,moderate,china,0.362318841,95
3573,0,moderate,nepal,0,85
3210,1,moderate,china_spp,0,103
3871,1,low,bhutan,0,91
3829,1,moderate,bhutan,1.415571284,90
3863,1,moderate,china,0,99
1737,0,moderate,nepal,0,86
2934,1,low,india,0,96
3600,0,moderate,china,0,100
2726,0,core,china_spp,0,103
4684,0,moderate,nepal,0,85
3428,1,moderate,china_spp,0,102
3705,1,moderate,china,0,100
3943,1,moderate,china_spp,0,102
3057,1,core,china_spp,0.091324201,103
989,1,core,burma,1.893597836,98
3645,1,low,,0,99
2421,1,low,china,0,95
2641,1,moderate,china_spp,0.307692308,103
2562,1,low,bhutan,0,91
2427,1,low,china_spp,0,102
1851,0,low,china,0,97
2097,1,moderate,india,0,94
1552,1,low,china_spp,0.744186047,103
3328,0,low,china,0,97
3748,1,low,india,0,89
2580,1,low,,0,99
2059,1,moderate,burma,2.95202952,99
2440,1,moderate,china_spp,28.9648623,104
1973,1,moderate,nepal,0,83
3282,0,moderate,china,0,99
3468,1,low,china,0.146842878,96
3880,0,moderate,china,0,99
4292,0,low,china,0,95
3880,0,low,china_spp,0,102
3220,1,moderate,china_spp,0,103
4220,0,low,china,0,91
1945,1,low,china_spp,10.64021641,104
2773,1,low,china,0,101
3204,0,low,china,0,100
3099,0,low,china,0,101
3827,1,low,china,1.869158879,99
2959,0,moderate,burma,0,97
4408,0,low,china,0,97
3787,1,lowcore,china,0.398406375,95
2459,1,moderate,china_spp,0.109769484,103
3423,0,low,china,0,101
996,1,low,nepal,0,84
2253,1,moderate,china_spp,0,102
2826,1,low,,0,99
2921,1,moderate,india,0,94
2251,0,low,china_spp,0,103
2411,1,low,china,3.818181818,95
