loss_mean,elevation,longtitude,country,iucn,over_20_pc_canopy_cover,habitat_class
,1636,86,Nepal,,0,Moderate
0.060818713,1686,92,Bhutan,,1,Moderate
,2988,100,China_fulgens,,0,Low
,4152,96,India,,0,Low
,3010,100,China_fulgens,,0,Moderate
,3330,98,Burma,IUCN II,0,Low
,4688,93,China_fulgens,,0,Low
0,2456,93,India,,1,Core
0,3424,96,China_fulgens,,1,Low
0.005420054,2034,86,Nepal,,1,Core
0,2756,93,India,,1,Moderate
,2145,103,china_styani,,0,Moderate
0,2284,90,Bhutan,,1,Low
0.014611872,3799,95,China_fulgens,,1,Low
,4244,98,China_fulgens,,0,Low
,3709,99,China_fulgens,,0,Moderate
,4381,96,China_fulgens,,0,Low
0,2622,94,India,,1,Low
0.003606853,1363,98,Burma,IUCN IV,1,Low
,3032,98,China_fulgens,,0,Moderate
,4250,85,Nepal,IUCN II,0,Core
,2436,99,China_fulgens,,0,Low
0,2460,96,India,,1,Low
,4365,103,china_styani,,0,Moderate
,2668,100,China_fulgens,,0,Moderate
0.003652968,1376,95,India,,1,LowModerate
,2163,101,China_fulgens,,0,Low
0,3897,94,China_fulgens,,1,Low
,4496,99,China_fulgens,,0,Low
0.003239741,3224,103,china_styani,,1,Core
,3166,100,China_fulgens,,0,Low
0,4023,101,China_fulgens,,1,Low
0.008403361,3271,94,China_fulgens,,1,Low
0.220994475,900,91,India,,1,Moderate
0,3700,101,China_fulgens,,1,Low
,4129,100,China_fulgens,,0,Low
0.009661836,2699,99,China_fulgens,,1,Low
,4340,99,China_fulgens,,0,Low
,2717,96,India,,0,Low
,2471,100,China_fulgens,,0,Low
0,3204,82,Nepal,,1,Moderate
0,2310,102,china_styani,,1,Moderate
9.06E-04,2144,103,china_styani,,1,Moderate
0.014659686,2056,98,China_fulgens,,1,Moderate
0.004004004,2179,89,India,,1,Low
,2742,97,China_fulgens,,0,Low
,1845,98,Burma,,0,Moderate
0,3610,83,Nepal,,1,Low
0.006535948,3552,100,China_fulgens,,1,Moderate
,2478,85,Nepal,,0,Moderate
0,942,97,Burma,IUCN IV,1,Low
0.006289308,2842,82,Nepal,,1,Low
,3353,83,Nepal,,0,Low
0.003606853,2252,103,china_styani,,1,Moderate
0,2801,86,China_fulgens,,1,Core
,3842,100,China_fulgens,,0,Low
,4549,95,China_fulgens,,0,Low
,4323,98,China_fulgens,,0,Low
0.008474576,2563,103,china_styani,,1,Moderate
0,2296,103,china_styani,,1,Low
,3970,98,China_fulgens,,0,Low
,2260,83,Nepal,,0,Low
0,2129,97,Burma,IUCN IV,1,Low
,2932,94,China_fulgens,,0,Low
,3473,101,China_fulgens,,0,Low
,756,96,India,,0,Low
0,4288,93,China_fulgens,,1,Low
,4131,99,China_fulgens,,0,Core
0.010430248,3280,88,India,IUCN II,1,Moderate
,3221,95,China_fulgens,,0,Low
0.002061856,3002,96,India,,1,Low
0.046666667,2109,91,Bhutan,,1,Moderate
0.01461039,3170,82,Nepal,,1,Moderate
,5406,97,China_fulgens,,0,Low
,2477,100,China_fulgens,,0,Low
0.004102564,2435,97,Burma,IUCN IV,1,Core
0,2862,98,Burma,,1,Moderate
,4008,100,China_fulgens,,0,Moderate
0,2367,98,Burma,IUCN II,1,Moderate
0.151724138,1550,98,China_fulgens,,1,Moderate
,3895,95,China_fulgens,,0,Low
,3170,99,China_fulgens,,0,Moderate
0,2371,83,Nepal,,1,Moderate
0,1371,87,Nepal,,1,Moderate
,4918,93,China_fulgens,,0,Low
0.006684492,2641,99,China_fulgens,,1,Moderate
,4072,98,China_fulgens,,0,Moderate
0.001053741,1987,96,India,,1,Low
,3938,95,China_fulgens,,0,Low
,3661,101,China_fulgens,,0,Low
,1293,87,Nepal,IUCN VI,0,Low
0.001008065,3447,82,Nepal,,1,ModerateCore
0,2290,95,India,,1,Low
,4994,94,China_fulgens,,0,Low
0,2280,98,Burma,IUCN II,1,Core
,4160,98,China_fulgens,,0,Moderate
,1644,92,India,,0,Low
,2961,96,China_fulgens,,0,Low
,2395,92,India,,0,Low
0,3745,83,Nepal,,1,Low
0,3116,102,china_styani,,1,Moderate
0,3618,99,China_fulgens,,1,Moderate
,2864,99,China_fulgens,,0,Low
,4229,100,China_fulgens,,0,Moderate
0.024539877,2998,90,Bhutan,,1,Moderate
,3711,99,China_fulgens,,0,Low
9.59E-04,2297,102,china_styani,,1,Moderate
0,1245,103,china_styani,,1,Low
,2226,103,china_styani,,0,Moderate
,3425,94,China_fulgens,,0,Low
,2452,95,China_fulgens,,0,Low
0,3644,91,Bhutan,IUCN II,1,Core
0,2114,94,India,,1,Moderate
0.0802644,3330,104,china_styani,,1,Low
,4553,90,Bhutan,IUCN II,0,Moderate
0.004106776,2954,99,Burma,IUCN II,1,Moderate
,3556,99,China_fulgens,,0,Low
9.36E-04,2303,99,,,1,Low
,4232,95,China_fulgens,,0,Moderate
0.00292113,2005,103,china_styani,,1,Core
,783,91,India,,0,Moderate
0,3025,90,Bhutan,,1,Low
,3495,95,China_fulgens,,0,Low
,3710,97,China_fulgens,,0,Low
0.011363636,4014,87,Nepal,,1,Moderate
0,3272,87,Nepal,IUCN II,1,Core
0,3971,94,China_fulgens,,1,Moderate
0.002484472,3333,99,China_fulgens,,1,Moderate
,3647,99,China_fulgens,,0,Low
,2128,82,Nepal,,0,Low
,3991,92,Bhutan,IUCN IV,0,Moderate
0,2405,91,Bhutan,,1,Low
0,3633,101,China_fulgens,,1,Low
0,3772,89,India,,1,Low
0,3372,99,China_fulgens,,1,Moderate
